,state,prisoners,m_sex_ratio,population,inc_rate_per_100k
0,Selangor,27765,0.89,9128.5,304.15730952511365
1,Kedah,8980,0.92,2163.1,415.1449308862281
2,Johor,8635,0.93,4028.3,214.35841421939776
3,Sabah,8412,0.92,3414.9,246.33224984626196
4,Perak,8276,0.93,2514.4,329.1441298122813
5,Kelantan,7986,0.91,1830.6,436.2504097017371
6,Pulau Pinang,6699,0.93,1740.9,384.80096501809413
7,Sarawak,6089,0.9,2570.4,236.88920012449424
8,Pahang,5977,0.91,1614.3,370.25336058972925
9,Melaka,5281,0.88,1008.6,523.5970652389451
10,Terengganu,4987,1.0,1186.6,420.27642002359687
11,Negeri Sembilan,2722,1.0,1207.9,225.34978061097772
